codigo,nome,marca,linha,faixa_etaria,dimensoes,pagina_catalogo,revisar
6008,TOTOKA PLUS SEM ELETRÔNICO AZUL CAIXA INDIVIDUAL **,playmi,Play&Ride,+18 meses,348A x 495C x 250L,60,
6009,TOTOKA BABY TRACTOR CAIXA INDIVIDUAL ** ** Todas as referências desta página são sem eletrônico.,playmi,Play&Ride,+18 meses,348A x 495C x 250L,60,SIM
7191,PATINETE AZUL DECORADO,playmi,Play&Ride,+2 anos,770A x 550C x 200L,61,
7192,PATINETE ROSA DECORADO,playmi,Play&Ride,+2 anos,770A x 550C x 200L,61,
2018,ACQUA BUBBLE,playmi,Play&Imagine,+3 anos,500A x 307C x 190L,63,
2019,ACQUA BUBBLE CAIXA INDIVIDUAL * A cor da,playmi,Play&Imagine,+3 anos,500A x 307C x 190L,63,
2013,COZINHA SONHO DE MENINA,playmi,Play&Imagine,+3 anos,255A x 486C x 202L,64,
2016,"COZINHA SONHO DE MENINA CAIXA INDIVIDUAL Torneira lúdica, não sai água de verdade.",playmi,Play&Imagine,+3 anos,255A x 486C x 202L,64,SIM
2012,GELADEIRA SONHO DE MENINA,playmi,Play&Imagine,+3 anos,486A x 255C x 202L,65,
2015,GELADEIRA SONHO DE MENINA CAIXA INDIVIDUAL * A cor da embalagem,playmi,Play&Imagine,+3 anos,486A x 255C x 202L,65,SIM
2014,GELADEIRA GELA SORVETINHO,playmi,Play&Imagine,+3 anos,486A x 255C x 202L,66,
2017,GELADEIRA GELA SORVETINHO CAIXA INDIVIDUAL 1º Puxe a 486A x 255C x 202L casquinha 2º Aperte o botão 3º Tire o Sorvetinho,playmi,Play&Imagine,+3 anos,,66,SIM
2023,DOCE COZINHA GOURMET MÁQUINA DE CAFÉ ESPRESSO,playmi,Play&Imagine,+3 anos,220A x 272C x 160L,67,
2020,DOCE COZINHA GOURMET AIR FRYER,playmi,Play&Imagine,+3 anos,220A x 240C x 108L,67,
2024,DOCE COZINHA GOURMET,playmi,Play&Imagine,+3 anos,162A x 247C x 164L,68,
2021,DOCE COZINHA GOURMET BATEDEIRA,playmi,Play&Imagine,+3 anos,249A x 196C x 123L,68,
2022,DOCE COZINHA GOURMET LIQUIDIFICADOR,playmi,Play&Imagine,+3 anos,268A x 158C x 130L,68,
7181,DOCE COZINHA PLUS BRINCANDO DE COZINHAR,playmi,Play&Imagine,+3 anos,230A x 345C x 50L,69,
7182,DOCE COZINHA PLUS GRILL,playmi,Play&Imagine,+3 anos,300A x 360C x 50L,69,
7183,DOCE COZINHA PLUS SANDWICH,playmi,Play&Imagine,+3 anos,230A x 345C x 50L,69,
7206,DOCE COZINHA PLUS CHÁ COM BOLINHOS,playmi,Play&Imagine,+3 anos,274A x 345C x 66L,70,
7207,DOCE COZINHA PLUS CHÁ COM ROSQUINHAS,playmi,Play&Imagine,+3 anos,274A x 345C x 66L,70,
7205,DOCE COZINHA PLUS CHÁ COM BISCOITOS,playmi,Play&Imagine,+3 anos,274A x 345C x 66L,70,
7122,DOCE COZINHA PLUS COMIDINHA,playmi,Play&Imagine,+3 anos,305A x 408C x 80L,71,
7123,DOCE COZINHA PLUS LIQUIDIFICADOR,playmi,Play&Imagine,+3 anos,305A x 408C x 80L,71,
7124,DOCE COZINHA PLUS MICROONDAS E BATEDEIRA,playmi,Play&Imagine,+3 anos,305A x 408C x 80L,72,
7125,DOCE COZINHA PLUS TORRADEIRA E BATEDEIRA,playmi,Play&Imagine,+3 anos,305A x 408C x 80L,72,
7184,CORTE & ESCOVA,playmi,Play&Drive,+3 anos,270A x 400C x 80L,73,
7185,STUDIO FASHION CELEBRIDADES CORTE & HIDRATAÇÃO,playmi,Play&Drive,+3 anos,270A x 400C x 80L,73,
7186,CELEBRIDADES ESCOVA & PENTEADO *Não funciona como,playmi,Play&Drive,+3 anos,270A x 400C x 80L,73,
1061,OPEN TRACKS TRATOR CARREGADEIRA,playmi,Play&Drive,+3 anos,233A x 420C x 195L,75,
1060,"OPEN TRACKS TRATOR ESCAVADEIRA 233A x 560C x 195L +,'#-""",playmi,Play&Drive,+3 anos,,75,SIM
1059,"OPEN TRACKS TRATOR RETROESCAVADEIRA 235A x 650C x 195L *+,&-",playmi,Play&Drive,+3 anos,,76,SIM
1018,COMBO 2 CONSTRUCTION,playmi,Play&Drive,+3 anos,236A x 350C x 220L,77,
1062,CAMINHÃO AIR TRUCK CAÇAMBA,playmi,Play&Drive,+3 anos,207A x 348C x 243L,78,
1063,CAMINHÃO AIR TRUCK ESCAVADEIRA,playmi,Play&Drive,+3 anos,207A x 429C x 243L,78,
1017,TANDY TRACTOR Um super caminhão basculante e carregadeira com caçamba e braços articulados!,playmi,Play&Drive,+3 anos,278A x 470C x 240L,79,SIM
1049,"TANDY BOMBEIRO Um caminhão de bombeiro equipado com cones, escadas retráteis, maca de salvamento e extintores!",playmi,Play&Drive,+3 anos,275A x 400C x 240L,80,SIM
7193,ELETRONIC PARKING BOMBEIRO Elevador eletrônico!,playmi,Play&Drive,+3 anos,670A x 600C x 320L,81,
7138,ESTAÇÃO DE BOMBEIRO,playmi,Play&Drive,+3 anos,240A x 310C x 95L,82,
7140,ESTAÇÃO DE CONSTRUÇÃO,playmi,Play&Drive,+3 anos,240A x 310C x 75L,82,
7141,ESTAÇÃO DE RECICLAGEM,playmi,Play&Drive,+3 anos,240A x 310C x 75L,82,
7139,ESTAÇÃO DE BOMBEIRO PLUS,playmi,Play&Collect,+3 anos,350A x 520C x 70L,83,
3117,LITTLE FIGS DISNEY TOY STORY,playmi,Play&Collect,+3 anos,190A x 280C x 62L,87,
3100,LITTLE FIGS DISNEY STITCH,playmi,Play&Collect,+3 anos,190A x 280C x 62L,87,
3103,LITTLE FIGS MARVEL SPIDEY,playmi,Play&Collect,+3 anos,170A x 245C x 60L,87,
3105,LITTLE FIGS OS SMURFS,playmi,Play&Collect,+3 anos,190A x 280C x 62L,87,
3113,LITTLE FIGS BLUEY* LANÇAMENTO!,playmi,Play&Collect,+3 anos,170A x 245C x 60L,88,
