codigo,nome_correto_ficha,nome_no_catalogo_2026
7177 - A,Robô-Blocks Corrida F-Car-53 Peças,ROBÔ-BLOCKS CORRIDA F-CAR - 53 PEÇAS 6 displays (18 unidades) +3 anos
7178 - B,Robô-Blocks Corrida F-Road - 59 Peças,ROBÔ-BLOCKS CORRIDA F-ROAD - 59 PEÇAS 6 displays (18 unidades) +3 anos
7179 - C,Robô-Blocks Corrida F- Quadri - 42 Peças,ROBÔ-BLOCKS CORRIDA F-QUADRI - 42 PEÇAS 6 displays (18 unidades) +3 anos
7180 - D,Robô-Blocks Corrida F- Run - 65 Peças,ROBÔ-BLOCKS CORRIDA F-RUN - 65 PEÇAS 6 displays (18 unidades) +3 anos
7184,Studio Fashion Celebridades Corte&Escova,CORTE & ESCOVA
7186,Studio Fashion Celebridades Escova&Penteado,CELEBRIDADES ESCOVA & PENTEADO *Não funciona como
7193,Electronic Parking Bombeiro,ELETRONIC PARKING BOMBEIRO Elevador eletrônico!
7197,Bateria Touch Musical Azul,BATERIA TOUCH MUSICAL AZUL 2 em 1
7199,Piano Touch Musical Azul,4 sons PIANO TOUCH MUSICAL AZUL diferentes!
7203,Fofush Encantado Unicórnio,FOFUSH ENCANTADO UNICÓRNIO Ilumine com a lanterna de LED para desenhar na barriga do Fofush!
7204,Fofush Falante Unicórnio,FOFUSH FALANTE UNICÓRNIO Grava voz e repete de um jeito super divertido!
7209,Tópi Festa Doce com Sorvetes,TÓPI FESTA DOCE COM SORVETE
7229,Patinete Bluey,LANÇAMENTO! PATINETE BLUEY* .seõçaretla a
8001,Dino Jurássico,DINO JURÁSSICO COM 30 BLOCOS
8002,Navio Pirata,NAVIO PIRATA Vem com 30 blocos!
8003,Mesinha Criativa Azul,MESINHA CRIATIVA AZUL COM 20 BLOCOS
8011,Blocks Box 90 Blocos Rosa,BLOCKS BOX ROSA COM 90 BLOCOS Vem com 90 blocos!
8012,Blocks Box 90 Blocos Azul,BLOCKS BOX AZUL COM 90 BLOCOS
8014,Truck Ride On Amarelo,TRUCK RIDE ON AMARELA Vem com CAIXA INDIVIDUAL 10 blocos! * A cor
8015,Trenzinho Didático 28 Peças,TRENZINHO DIDÁTICO 28 PEÇAS Com 28 peças!
8016,Girafa de Atividades Amarela,GIRAFA DE ATIVIDADES AMARELA COM 15 BLOCOS Vem com 15 blocos!
8017,Totokross Moto de Equilibrio Rosa,TOTOKROSS MOTO DE Andador de EQUILÍBRIO ROSA CAIXA INDIVIDUAL equilibrio
8018,Totokross Moto de Equilibrio Vermelha,TOTOKROSS MOTO DE EQUILÍBRIO VERMELHA CAIXA INDIVIDUAL
8022,Pipinico Urso Azul Caixa Individual,PIPINICO URSO AZUL CAIXA INDIVIDUAL Recipiente removível Prático e higiênico!
8023,Mesinha Criativa Rosa,MESINHA CRIATIVA ROSA COM 20 BLOCOS Vem com 275A x 550C x 380L 20 blocos!
8024,Girafa de Atividades Rosa,GIRAFA DE ATIVIDADES ROSA COM 15 BLOCOS
8025,Estação de Resgate 10 Blocos,ESTAÇÃO DE RESGATE 10 BLOCOS Vem com 10 blocos!
8026,Fazendinha 19 Blocos,FAZENDINHA 19 BLOCOS Vem com 19 blocos!
8030,Moto Speed Xr - Moto de Equilíbrio Rosa,MOTO SPEED XR MOTO DE EQUILÍBRIO ROSA * A cor da embalagem
9505,Pipinico Rosa Caixa Individual,PIPINICO AZUL CAIXA INDIVIDUAL * A cor da embalagem individual
9506,Pipinico Azul Caixa Individual,PIPINICO ROSA CAIXA INDIVIDUAL R$ Com tampa! Apoio lateral para maior estabilidade da criança Formato anatômico
